--- OpenAI-ES Training Log for Bypass=True ---
Gen 139 (ES) | Pop: 64 | Time: 20.78s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 140 (ES) | Pop: 64 | Time: 20.69s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 141 (ES) | Pop: 64 | Time: 20.73s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 142 (ES) | Pop: 64 | Time: 20.89s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 143 (ES) | Pop: 64 | Time: 21.72s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 144 (ES) | Pop: 64 | Time: 20.56s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 145 (ES) | Pop: 64 | Time: 20.79s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 146 (ES) | Pop: 64 | Time: 20.98s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 147 (ES) | Pop: 64 | Time: 20.69s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 148 (ES) | Pop: 64 | Time: 20.76s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 149 (ES) | Pop: 64 | Time: 20.99s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 150 (ES) | Pop: 64 | Time: 20.73s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 151 (ES) | Pop: 64 | Time: 22.09s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 152 (ES) | Pop: 64 | Time: 22.08s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 153 (ES) | Pop: 64 | Time: 22.15s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 154 (ES) | Pop: 64 | Time: 20.68s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 155 (ES) | Pop: 64 | Time: 21.06s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 156 (ES) | Pop: 64 | Time: 20.89s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 157 (ES) | Pop: 64 | Time: 20.84s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 158 (ES) | Pop: 64 | Time: 21.46s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 159 (ES) | Pop: 64 | Time: 21.25s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 160 (ES) | Pop: 64 | Time: 21.30s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 161 (ES) | Pop: 64 | Time: 21.16s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 162 (ES) | Pop: 64 | Time: 20.93s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 163 (ES) | Pop: 64 | Time: 20.82s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 164 (ES) | Pop: 64 | Time: 20.81s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 165 (ES) | Pop: 64 | Time: 20.77s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 166 (ES) | Pop: 64 | Time: 20.81s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 167 (ES) | Pop: 64 | Time: 21.10s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
