--- OpenAI-ES Training Log for Bypass=True ---
Gen 128 (ES) | Pop: 128 | Sigma: 0.246 | Time: 35.57s | Cur: 115.62W (S:7.50%) | Std: 56.82 | Best: 101.17W
Gen 129 (ES) | Pop: 128 | Sigma: 0.250 | Time: 34.76s | Cur: 108.40W (S:8.33%) | Std: 51.38 | Best: 101.17W
Gen 130 (ES) | Pop: 128 | Sigma: 0.250 | Time: 34.45s | Cur: 108.40W (S:7.08%) | Std: 54.20 | Best: 101.17W
Gen 131 (ES) | Pop: 128 | Sigma: 0.250 | Time: 37.87s | Cur: 108.40W (S:8.33%) | Std: 47.00 | Best: 101.17W
Gen 132 (ES) | Pop: 128 | Sigma: 0.250 | Time: 34.53s | Cur: 108.40W (S:8.33%) | Std: 71.58 | Best: 101.17W
Gen 133 (ES) | Pop: 128 | Sigma: 0.250 | Time: 36.93s | Cur: 108.40W (S:8.33%) | Std: 58.47 | Best: 101.17W
Gen 134 (ES) | Pop: 128 | Sigma: 0.250 | Time: 35.40s | Cur: 108.40W (S:7.50%) | Std: 61.36 | Best: 101.17W
Gen 135 (ES) | Pop: 128 | Sigma: 0.250 | Time: 34.50s | Cur: 108.40W (S:7.50%) | Std: 47.81 | Best: 101.17W
Gen 136 (ES) | Pop: 128 | Sigma: 0.250 | Time: 37.24s | Cur: 108.40W (S:7.92%) | Std: 56.87 | Best: 101.17W
Gen 137 (ES) | Pop: 128 | Sigma: 0.250 | Time: 35.22s | Cur: 108.40W (S:8.33%) | Std: 41.99 | Best: 101.17W
Gen 138 (ES) | Pop: 128 | Sigma: 0.150 | Time: 37.41s | Cur: 115.62W (S:7.92%) | Std: 56.98 | Best: 101.17W
Gen 139 (ES) | Pop: 128 | Sigma: 0.153 | Time: 35.13s | Cur: 108.40W (S:6.67%) | Std: 47.80 | Best: 101.17W
Gen 140 (ES) | Pop: 128 | Sigma: 0.156 | Time: 38.12s | Cur: 108.40W (S:7.08%) | Std: 33.33 | Best: 101.17W
Gen 141 (ES) | Pop: 128 | Sigma: 0.159 | Time: 35.70s | Cur: 101.17W (S:6.25%) | Std: 37.45 | Best: 101.17W
Gen 142 (ES) | Pop: 128 | Sigma: 0.162 | Time: 37.01s | Cur: 101.17W (S:6.67%) | Std: 34.07 | Best: 101.17W
Gen 143 (ES) | Pop: 128 | Sigma: 0.166 | Time: 35.59s | Cur: 108.40W (S:7.08%) | Std: 41.16 | Best: 101.17W
Gen 144 (ES) | Pop: 128 | Sigma: 0.169 | Time: 35.54s | Cur: 101.17W (S:6.25%) | Std: 25.44 | Best: 101.17W
Gen 145 (ES) | Pop: 128 | Sigma: 0.172 | Time: 38.72s | Cur: 101.17W (S:6.25%) | Std: 24.82 | Best: 101.17W
Gen 146 (ES) | Pop: 128 | Sigma: 0.176 | Time: 34.91s | Cur: 101.17W (S:6.25%) | Std: 28.73 | Best: 101.17W
Gen 147 (ES) | Pop: 128 | Sigma: 0.179 | Time: 38.40s | Cur: 101.17W (S:6.25%) | Std: 26.71 | Best: 101.17W
Gen 148 (ES) | Pop: 128 | Sigma: 0.183 | Time: 37.28s | Cur: 101.17W (S:6.25%) | Std: 23.73 | Best: 101.17W
Gen 149 (ES) | Pop: 128 | Sigma: 0.187 | Time: 36.89s | Cur: 101.17W (S:6.25%) | Std: 28.03 | Best: 101.17W
Gen 150 (ES) | Pop: 128 | Sigma: 0.190 | Time: 34.55s | Cur: 101.17W (S:6.25%) | Std: 28.55 | Best: 101.17W
Gen 151 (ES) | Pop: 128 | Sigma: 0.194 | Time: 39.49s | Cur: 101.17W (S:6.25%) | Std: 28.84 | Best: 101.17W
Gen 152 (ES) | Pop: 128 | Sigma: 0.198 | Time: 36.01s | Cur: 101.17W (S:6.25%) | Std: 33.16 | Best: 101.17W
