--- OpenAI-ES Training Log for Bypass=True ---
Gen 77 (ES) | Pop: 128 | Sigma: 0.172 | Time: 24.32s | Cur: 79.49W (S:5.00%) | Std: 57.96 | Best: 72.26W
Gen 78 (ES) | Pop: 128 | Sigma: 0.176 | Time: 24.36s | Cur: 79.49W (S:5.00%) | Std: 58.40 | Best: 72.26W
Gen 79 (ES) | Pop: 128 | Sigma: 0.179 | Time: 24.19s | Cur: 79.49W (S:5.42%) | Std: 57.13 | Best: 72.26W
Gen 80 (ES) | Pop: 128 | Sigma: 0.183 | Time: 24.86s | Cur: 72.26W (S:5.42%) | Std: 49.92 | Best: 72.26W
Gen 81 (ES) | Pop: 128 | Sigma: 0.187 | Time: 24.74s | Cur: 72.26W (S:6.25%) | Std: 48.30 | Best: 72.26W
Gen 82 (ES) | Pop: 128 | Sigma: 0.190 | Time: 24.81s | Cur: 79.49W (S:5.00%) | Std: 42.05 | Best: 72.26W
Gen 83 (ES) | Pop: 128 | Sigma: 0.194 | Time: 24.66s | Cur: 72.26W (S:5.00%) | Std: 37.50 | Best: 72.26W
Gen 84 (ES) | Pop: 128 | Sigma: 0.198 | Time: 24.80s | Cur: 72.26W (S:5.42%) | Std: 42.14 | Best: 72.26W
Gen 85 (ES) | Pop: 128 | Sigma: 0.202 | Time: 24.97s | Cur: 72.26W (S:5.83%) | Std: 34.13 | Best: 72.26W
Gen 86 (ES) | Pop: 128 | Sigma: 0.206 | Time: 24.90s | Cur: 72.26W (S:5.00%) | Std: 42.52 | Best: 72.26W
Gen 87 (ES) | Pop: 128 | Sigma: 0.210 | Time: 25.36s | Cur: 72.26W (S:5.00%) | Std: 33.17 | Best: 72.26W
Gen 88 (ES) | Pop: 128 | Sigma: 0.214 | Time: 25.68s | Cur: 72.26W (S:5.00%) | Std: 35.12 | Best: 72.26W
Gen 89 (ES) | Pop: 128 | Sigma: 0.219 | Time: 25.20s | Cur: 72.26W (S:5.00%) | Std: 35.42 | Best: 72.26W
Gen 90 (ES) | Pop: 128 | Sigma: 0.223 | Time: 25.25s | Cur: 72.26W (S:4.58%) | Std: 27.24 | Best: 72.26W
Gen 91 (ES) | Pop: 128 | Sigma: 0.227 | Time: 24.91s | Cur: 72.26W (S:5.00%) | Std: 43.95 | Best: 72.26W
Gen 92 (ES) | Pop: 128 | Sigma: 0.232 | Time: 24.75s | Cur: 72.26W (S:4.17%) | Std: 36.63 | Best: 72.26W
Gen 93 (ES) | Pop: 128 | Sigma: 0.237 | Time: 25.52s | Cur: 72.26W (S:4.17%) | Std: 33.87 | Best: 72.26W
Gen 94 (ES) | Pop: 128 | Sigma: 0.241 | Time: 24.75s | Cur: 72.26W (S:4.58%) | Std: 32.87 | Best: 72.26W
Gen 95 (ES) | Pop: 128 | Sigma: 0.246 | Time: 24.55s | Cur: 72.26W (S:4.17%) | Std: 35.21 | Best: 72.26W
Gen 96 (ES) | Pop: 128 | Sigma: 0.250 | Time: 24.79s | Cur: 72.26W (S:4.17%) | Std: 37.18 | Best: 72.26W
