--- OpenAI-ES Training Log for Bypass=True ---
Gen 125 (ES) | Pop: 128 | Sigma: 0.198 | Time: 278.58s | Cur: 66.24W (S:2.62%) | Std: 37.56 | Best: 66.24W
Gen 126 (ES) | Pop: 128 | Sigma: 0.202 | Time: 277.25s | Cur: 66.24W (S:2.62%) | Std: 36.46 | Best: 66.24W
Gen 127 (ES) | Pop: 128 | Sigma: 0.206 | Time: 279.67s | Cur: 66.24W (S:2.62%) | Std: 27.84 | Best: 66.24W
Gen 128 (ES) | Pop: 128 | Sigma: 0.210 | Time: 283.02s | Cur: 66.24W (S:2.62%) | Std: 25.62 | Best: 66.24W
Gen 129 (ES) | Pop: 128 | Sigma: 0.214 | Time: 274.52s | Cur: 66.24W (S:2.62%) | Std: 32.61 | Best: 66.24W
Gen 130 (ES) | Pop: 128 | Sigma: 0.219 | Time: 282.12s | Cur: 66.24W (S:2.62%) | Std: 35.70 | Best: 66.24W
Gen 131 (ES) | Pop: 128 | Sigma: 0.223 | Time: 290.53s | Cur: 66.24W (S:2.62%) | Std: 20.49 | Best: 66.24W
Gen 132 (ES) | Pop: 128 | Sigma: 0.227 | Time: 291.43s | Cur: 66.24W (S:2.62%) | Std: 30.71 | Best: 66.24W
Gen 133 (ES) | Pop: 128 | Sigma: 0.232 | Time: 298.87s | Cur: 66.24W (S:2.62%) | Std: 26.01 | Best: 66.24W
Gen 134 (ES) | Pop: 128 | Sigma: 0.237 | Time: 287.50s | Cur: 66.24W (S:2.62%) | Std: 28.16 | Best: 66.24W
Gen 135 (ES) | Pop: 128 | Sigma: 0.241 | Time: 298.79s | Cur: 66.24W (S:2.62%) | Std: 33.81 | Best: 66.24W
Gen 136 (ES) | Pop: 128 | Sigma: 0.246 | Time: 300.18s | Cur: 66.24W (S:2.62%) | Std: 31.32 | Best: 66.24W
Gen 137 (ES) | Pop: 128 | Sigma: 0.250 | Time: 295.28s | Cur: 66.24W (S:2.62%) | Std: 30.23 | Best: 66.24W
Gen 138 (ES) | Pop: 128 | Sigma: 0.250 | Time: 291.48s | Cur: 66.24W (S:2.62%) | Std: 36.06 | Best: 66.24W
