[Bypass] Ep 80 | Reward: -132.17 | Power: 660.36W | Spec: 0.1875 | Loss: -0.0123 | Ent: 0.0086 | 57.7s
[Bypass] Ep 81 | Reward: -132.16 | Power: 660.36W | Spec: 0.1833 | Loss: -0.0123 | Ent: 0.0086 | 6.3s
[Bypass] Ep 82 | Reward: -132.16 | Power: 660.36W | Spec: 0.1833 | Loss: -0.0123 | Ent: 0.0085 | 7.4s
[Bypass] Ep 83 | Reward: -132.16 | Power: 660.36W | Spec: 0.1833 | Loss: -0.0123 | Ent: 0.0085 | 7.0s
[Bypass] Ep 84 | Reward: -132.16 | Power: 660.36W | Spec: 0.1833 | Loss: -0.0123 | Ent: 0.0085 | 8.4s
[Bypass] Ep 85 | Reward: -132.16 | Power: 660.36W | Spec: 0.1833 | Loss: -0.0116 | Ent: 0.0085 | 55.7s
[Bypass] Ep 86 | Reward: -128.83 | Power: 643.71W | Spec: 0.1667 | Loss: -0.0116 | Ent: 0.0085 | 7.9s
[Bypass] Ep 87 | Reward: -132.16 | Power: 660.36W | Spec: 0.1833 | Loss: -0.0116 | Ent: 0.0085 | 8.2s
[Bypass] Ep 88 | Reward: -128.83 | Power: 643.71W | Spec: 0.1667 | Loss: -0.0116 | Ent: 0.0084 | 7.3s
[Bypass] Ep 89 | Reward: -132.16 | Power: 660.36W | Spec: 0.1833 | Loss: -0.0116 | Ent: 0.0084 | 8.1s
[Bypass] Ep 90 | Reward: -132.16 | Power: 660.36W | Spec: 0.1833 | Loss: -0.0093 | Ent: 0.0084 | 52.6s
[Bypass] Ep 91 | Reward: -132.16 | Power: 660.36W | Spec: 0.1833 | Loss: -0.0093 | Ent: 0.0084 | 7.9s
[Bypass] Ep 92 | Reward: -132.16 | Power: 660.36W | Spec: 0.1833 | Loss: -0.0093 | Ent: 0.0084 | 7.9s
[Bypass] Ep 93 | Reward: -132.16 | Power: 660.36W | Spec: 0.1833 | Loss: -0.0093 | Ent: 0.0083 | 8.3s
[Bypass] Ep 94 | Reward: -132.16 | Power: 660.36W | Spec: 0.1833 | Loss: -0.0093 | Ent: 0.0083 | 7.0s
[Bypass] Ep 95 | Reward: -132.16 | Power: 660.36W | Spec: 0.1833 | Loss: -0.0155 | Ent: 0.0083 | 53.2s
[Bypass] Ep 96 | Reward: -132.16 | Power: 660.36W | Spec: 0.1833 | Loss: -0.0155 | Ent: 0.0083 | 8.2s
[Bypass] Ep 97 | Reward: -132.16 | Power: 660.36W | Spec: 0.1833 | Loss: -0.0155 | Ent: 0.0083 | 7.6s
[Bypass] Ep 98 | Reward: -132.16 | Power: 660.36W | Spec: 0.1833 | Loss: -0.0155 | Ent: 0.0083 | 7.7s
[Bypass] Ep 99 | Reward: -132.16 | Power: 660.36W | Spec: 0.1833 | Loss: -0.0155 | Ent: 0.0082 | 7.8s
